"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"03-08-2023 14:12:25";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127650.722";"880"
"03-08-2023 14:12:26";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127651.722";"466"
"03-08-2023 14:12:26";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127652.722";"125421"
"03-08-2023 14:22:13";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"f7220576.700743012";"429"
"03-08-2023 14:22:13";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"f7220577.700743012";"429"
"03-08-2023 14:22:13";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"f7220578.700743012";"403"
"03-08-2023 14:22:14";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220446.700743012";"422"
"03-08-2023 14:22:14";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220447.700743012";"429"
"03-08-2023 14:22:14";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220448.700743012";"429"
"03-08-2023 14:22:15";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220449.700743012";"9113"
"03-08-2023 14:22:15";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220450.700743012";"403"
"03-08-2023 14:22:15";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220451.700743012";"9113"
"03-08-2023 14:22:15";"700743012";"БРСМ";"Получение с FTP";"/700743012/";"K:\E_A_in\";"p7220452.700743012";"9113"
"03-08-2023 14:23:06";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430120001.722";"627"
"03-08-2023 14:23:07";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129080.722";"464"
"03-08-2023 14:23:07";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129081.722";"138994"
"03-08-2023 14:23:07";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129082.722";"3050"
"03-08-2023 14:23:08";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129084.722";"288"
"03-08-2023 14:23:08";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129085.722";"868"
"03-08-2023 14:23:08";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129086.722";"343"
"03-08-2023 14:23:09";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129087.722";"316"
"03-08-2023 14:23:09";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129088.722";"216"
"03-08-2023 14:23:09";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129089.722";"464"
"03-08-2023 14:23:10";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129090.722";"138994"
"03-08-2023 14:23:10";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129091.722";"3050"
"03-08-2023 14:23:10";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129093.722";"288"
"03-08-2023 14:23:11";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129094.722";"868"
"03-08-2023 14:23:11";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129095.722";"343"
"03-08-2023 14:23:11";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129096.722";"316"
"03-08-2023 14:23:12";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129097.722";"216"
"03-08-2023 14:23:12";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129098.722";"464"
"03-08-2023 14:23:12";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129099.722";"3050"
"03-08-2023 14:23:13";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129101.722";"288"
"03-08-2023 14:23:13";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129102.722";"868"
"03-08-2023 14:23:13";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129103.722";"343"
"03-08-2023 14:23:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129104.722";"216"
"03-08-2023 14:23:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430120001.722";"628"
"03-08-2023 14:23:14";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127656.722";"8886"
"03-08-2023 14:23:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127657.722";"216"
"03-08-2023 14:23:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127659.722";"216"
"03-08-2023 14:23:15";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127660.722";"494"
"03-08-2023 14:23:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127661.722";"140250"
"03-08-2023 14:23:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127662.722";"11347"
"03-08-2023 14:23:16";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127664.722";"288"
"03-08-2023 14:23:17";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127665.722";"258"
"03-08-2023 14:23:17";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127666.722";"333"
"03-08-2023 14:23:17";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127667.722";"316"
"03-08-2023 14:23:18";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127668.722";"216"
"03-08-2023 14:23:18";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127669.722";"494"
